date,avgTemp,bike_rides_daily
2022-01-01,11.6,20895.0
2022-01-02,11.4,44234.0
2022-01-03,1.4,34126.0
2022-01-04,-2.7,37879.0
2022-01-05,3.2,35080.0
2022-01-06,4.9,46004.0
2022-01-07,0.7,17838.0
2022-01-08,-2.5,25129.0
2022-01-09,1.4,22088.0
2022-01-10,1.6,35717.0
2022-01-11,-5.4,27704.0
2022-01-12,-1.9,41636.0
2022-01-13,4.0,51798.0
2022-01-14,4.8,46837.0
2022-01-15,-6.7,23717.0
2022-01-16,-8.0,21588.0
2022-01-17,3.9,29887.0
2022-01-18,1.8,44045.0
2022-01-19,3.2,55371.0
2022-01-20,5.1,34901.0
2022-01-21,-6.0,35006.0
2022-01-22,-5.9,33018.0
2022-01-23,-0.7,33817.0
2022-01-24,-0.2,42591.0
2022-01-25,3.6,51982.0
2022-01-26,-2.3,43279.0
2022-01-27,-4.2,45058.0
2022-01-28,0.1,35740.0
2022-01-29,-4.8,2927.0
2022-01-30,-7.1000000000000005,9688.0
2022-01-31,-3.4,22838.0
2022-02-01,-1.7,29993.0
2022-02-02,2.3,42955.0
2022-02-03,6.4,27292.0
2022-02-04,5.8,21072.0
2022-02-05,-2.8,31980.0
2022-02-06,-4.8,30313.0
2022-02-07,0.5,31611.0
2022-02-08,4.1,53493.0
2022-02-09,2.8,57558.0
2022-02-10,6.3,63584.0
2022-02-11,8.6,66310.0
2022-02-12,11.8,70299.0
2022-02-13,2.8,20897.0
2022-02-14,-4.3,35732.0
2022-02-15,-4.7,41940.0
2022-02-16,1.6000000000000003,55072.0
2022-02-17,11.6,69223.0
2022-02-18,9.9,48407.0
2022-02-19,0.1,33400.0
2022-02-20,-2.6,31959.0
2022-02-21,4.1,53863.0
2022-02-22,5.6,37452.0
2022-02-23,14.4,68175.0
2022-02-24,1.1,46001.0
2022-02-25,0.8,31350.0
2022-02-26,-1.1,42732.0
2022-02-27,2.4,44121.0
2022-02-28,0.8,46930.0
2022-03-01,2.6,57432.0
2022-03-02,7.699999999999999,68718.0
2022-03-03,5.6,56795.0
2022-03-04,-1.9,51059.0
2022-03-05,3.1,52695.0
2022-03-06,9.599999999999998,55948.0
2022-03-07,18.2,69568.0
2022-03-08,8.7,63778.0
2022-03-09,3.2,28822.0
2022-03-10,4.0,67868.0
2022-03-11,7.2,71017.0
2022-03-12,5.1,20336.0
2022-03-13,-2.3,31815.0
2022-03-14,5.3,64895.0
2022-03-15,11.6,80950.0
2022-03-16,13.6,83460.0
2022-03-17,8.2,51187.0
2022-03-18,13.9,95284.0
2022-03-19,13.1,79685.0
2022-03-20,14.3,67065.0
2022-03-21,10.4,74997.0
2022-03-22,10.7,77201.0
2022-03-23,7.2,62383.0
2022-03-24,5.7,46992.0
2022-03-25,9.6,76966.0
2022-03-26,10.4,63708.0
2022-03-27,5.9,46883.0
2022-03-28,-1.5,39187.0
2022-03-29,-1.2,49720.0
2022-03-30,2.6,62747.0
2022-03-31,9.9,74283.0
2022-04-01,13.1,70244.0
2022-04-02,7.199999999999999,74958.0
2022-04-03,7.0,38074.0
2022-04-04,7.6,70671.0
2022-04-05,9.7,74265.0
2022-04-06,8.6,49773.0
2022-04-07,9.1,36284.0
2022-04-08,12.8,90641.0
2022-04-09,11.4,69105.0
2022-04-10,8.6,58595.0
2022-04-11,8.8,77371.0
2022-04-12,13.4,95735.0
2022-04-13,15.4,100803.0
2022-04-14,16.3,92849.0
2022-04-15,15.7,102100.0
2022-04-16,15.700000000000001,84084.0
2022-04-17,8.3,55577.0
2022-04-18,7.9,57235.0
2022-04-19,7.6,60480.0
2022-04-20,9.4,87636.0
2022-04-21,10.6,79750.0
2022-04-22,14.6,100005.0
2022-04-23,13.3,96936.0
2022-04-24,12.800000000000002,85463.0
2022-04-25,10.4,74762.0
2022-04-26,11.5,76986.0
2022-04-27,11.6,84742.0
2022-04-28,8.2,80806.0
2022-04-29,10.4,89424.0
2022-04-30,12.9,104259.0
2022-05-01,13.6,97344.0
2022-05-02,12.1,56229.0
2022-05-03,12.4,95263.0
2022-05-04,12.0,81915.0
2022-05-05,17.2,113394.0
2022-05-06,14.8,36211.0
2022-05-07,10.0,21271.0
2022-05-08,10.4,65005.0
2022-05-09,13.5,96836.0
2022-05-10,15.4,107649.0
2022-05-11,16.1,110056.0
2022-05-12,17.1,113665.0
2022-05-13,16.0,98440.0
2022-05-14,17.9,81802.0
2022-05-15,18.8,111373.0
2022-05-16,20.4,81406.0
2022-05-17,19.7,120376.0
2022-05-18,17.8,120400.0
2022-05-19,15.5,92433.0
2022-05-20,15.4,87405.0
2022-05-21,21.2,118165.0
2022-05-22,27.8,106060.0
2022-05-23,21.0,103820.0
2022-05-24,17.4,107315.0
2022-05-25,16.2,116909.0
2022-05-26,16.4,113837.0
2022-05-27,20.2,91251.0
2022-05-28,20.4,84854.0
2022-05-29,20.699999999999996,103741.0
2022-05-30,23.3,103218.0
2022-05-31,28.3,102957.0
2022-06-01,17.8,90340.0
2022-06-02,20.3,101166.0
2022-06-03,19.5,123870.0
2022-06-04,21.9,130555.0
2022-06-05,20.0,118762.0
2022-06-06,22.2,113007.0
2022-06-07,21.8,106620.0
2022-06-08,23.7,127068.0
2022-06-09,24.4,117823.0
2022-06-10,21.8,125467.0
2022-06-11,21.8,118389.0
2022-06-12,20.5,92658.0
2022-06-13,24.2,114418.0
2022-06-14,23.9,126657.0
2022-06-15,23.3,131188.0
2022-06-16,20.300000000000004,104936.0
2022-06-17,25.2,122881.0
2022-06-18,21.699999999999996,111681.0
2022-06-19,17.3,108688.0
2022-06-20,20.5,117156.0
2022-06-21,22.1,102116.0
2022-06-22,19.1,97198.0
2022-06-23,19.2,120734.0
2022-06-24,21.9,127645.0
2022-06-25,25.8,121606.0
2022-06-26,27.0,109080.0
2022-06-27,24.3,81972.0
2022-06-28,22.4,124745.0
2022-06-29,23.9,124885.0
2022-06-30,25.4,119572.0
2022-07-01,28.1,106512.0
2022-07-02,28.699999999999996,91281.0
2022-07-03,26.9,91987.0
2022-07-04,25.6,97590.0
2022-07-05,25.9,91452.0
2022-07-06,26.0,116243.0
2022-07-07,24.2,118010.0
2022-07-08,23.5,101322.0
2022-07-09,24.7,126534.0
2022-07-10,23.4,118774.0
2022-07-11,24.0,114714.0
2022-07-12,25.8,115157.0
2022-07-13,28.9,124307.0
2022-07-14,26.6,123861.0
2022-07-15,26.1,122804.0
2022-07-16,24.3,114688.0
2022-07-17,25.7,114103.0
2022-07-18,26.199999999999996,85976.0
2022-07-19,28.2,123335.0
2022-07-20,31.3,121408.0
2022-07-21,29.8,112282.0
2022-07-22,30.899999999999995,115384.0
2022-07-23,30.300000000000004,110836.0
2022-07-24,31.1,102668.0
2022-07-25,29.800000000000004,99366.0
2022-07-26,25.9,126208.0
2022-07-27,25.5,128834.0
2022-07-28,26.7,121009.0
2022-07-29,28.2,118209.0
2022-07-30,26.7,126697.0
2022-07-31,26.3,115839.0
2022-08-01,23.1,101128.0
2022-08-02,26.4,124550.0
2022-08-03,27.6,128648.0
2022-08-04,29.1,121530.0
2022-08-05,29.3,117754.0
2022-08-06,29.6,126469.0
2022-08-07,29.599999999999998,97764.0
2022-08-08,30.3,107354.0
2022-08-09,31.3,112465.0
2022-08-10,27.2,127251.0
2022-08-11,26.6,117476.0
2022-08-12,25.6,126404.0
2022-08-13,23.1,135884.0
2022-08-14,24.0,114891.0
2022-08-15,24.3,115123.0
2022-08-16,23.6,126078.0
2022-08-17,23.6,123933.0
2022-08-18,24.1,125828.0
2022-08-19,26.3,124513.0
2022-08-20,27.9,132446.0
2022-08-21,25.3,113652.0
2022-08-22,24.5,88537.0
2022-08-23,25.9,122067.0
2022-08-24,26.9,126560.0
2022-08-25,28.1,123828.0
2022-08-26,27.4,111955.0
2022-08-27,27.8,121289.0
2022-08-28,24.6,110912.0
2022-08-29,26.0,111304.0
2022-08-30,26.8,116826.0
2022-08-31,25.6,126890.0
2022-09-01,25.9,125121.0
2022-09-02,21.7,119742.0
2022-09-03,22.800000000000004,110856.0
2022-09-04,25.3,102298.0
2022-09-05,25.800000000000004,96611.0
2022-09-06,23.3,42000.0
2022-09-07,20.8,116330.0
2022-09-08,21.8,138383.0
2022-09-09,21.9,137341.0
2022-09-10,23.6,138363.0
2022-09-11,23.2,69610.0
2022-09-12,22.4,118430.0
2022-09-13,24.7,125741.0
2022-09-14,22.9,138737.0
2022-09-15,21.8,135997.0
2022-09-16,19.6,135292.0
2022-09-17,20.8,134089.0
2022-09-18,23.4,119804.0
2022-09-19,25.6,105746.0
2022-09-20,23.2,133629.0
2022-09-21,22.0,137221.0
2022-09-22,21.8,105017.0
2022-09-23,15.1,116488.0
2022-09-24,14.5,116340.0
2022-09-25,19.2,89222.0
2022-09-26,19.399999999999995,108384.0
2022-09-27,19.7,119683.0
2022-09-28,17.2,127208.0
2022-09-29,16.6,124750.0
2022-09-30,14.5,118690.0
2022-10-01,14.8,61578.0
2022-10-02,15.2,53214.0
2022-10-03,11.5,50912.0
2022-10-04,10.3,53720.0
2022-10-05,13.8,71329.0
2022-10-06,17.6,127479.0
2022-10-07,20.3,127008.0
2022-10-08,13.9,103614.0
2022-10-09,12.299999999999999,96554.0
2022-10-10,15.8,99003.0
2022-10-11,17.0,115120.0
2022-10-12,17.9,121754.0
2022-10-13,18.7,75635.0
2022-10-14,15.7,118283.0
2022-10-15,16.2,121431.0
2022-10-16,16.1,104099.0
2022-10-17,16.6,91303.0
2022-10-18,12.6,104069.0
2022-10-19,10.0,102662.0
2022-10-20,11.099999999999998,107486.0
2022-10-21,13.4,111624.0
2022-10-22,14.4,114545.0
2022-10-23,14.7,68572.0
2022-10-24,14.1,68400.0
2022-10-25,16.9,101466.0
2022-10-26,18.3,115945.0
2022-10-27,16.9,119127.0
2022-10-28,11.3,109592.0
2022-10-29,10.8,108200.0
2022-10-30,12.5,98453.0
2022-10-31,14.4,99493.0
2022-11-01,16.9,106823.0
2022-11-02,17.6,121039.0
2022-11-03,15.7,120221.0
2022-11-04,15.2,122402.0
2022-11-05,19.4,125658.0
2022-11-06,19.8,106552.0
2022-11-07,21.3,110288.0
2022-11-08,13.2,99562.0
2022-11-09,8.7,98324.0
2022-11-10,12.6,112425.0
2022-11-11,16.4,56615.0
2022-11-12,19.7,117406.0
2022-11-13,12.9,71312.0
2022-11-14,6.3,76183.0
2022-11-15,4.9,66302.0
2022-11-16,7.299999999999999,79431.0
2022-11-17,5.7,80813.0
2022-11-18,4.5,75806.0
2022-11-19,2.8,61394.0
2022-11-20,2.7,46485.0
2022-11-21,1.1,61605.0
2022-11-22,6.6,76381.0
2022-11-23,9.4,76304.0
2022-11-24,8.1,39289.0
2022-11-25,10.0,44683.0
2022-11-26,9.3,61668.0
2022-11-27,10.7,35788.0
2022-11-28,12.2,75305.0
2022-11-29,5.4,77697.0
2022-11-30,8.4,56344.0
2022-12-01,5.7,75453.0
2022-12-02,3.4000000000000004,77173.0
2022-12-03,10.6,46947.0
2022-12-04,7.0,64561.0
2022-12-05,5.4,76259.0
2022-12-06,9.3,54229.0
2022-12-07,13.8,76862.0
2022-12-08,11.6,92372.0
2022-12-09,5.3,79557.0
2022-12-10,2.2,65856.0
2022-12-11,3.4,33866.0
2022-12-12,1.6,62130.0
2022-12-13,0.3,67875.0
2022-12-14,1.7,69758.0
2022-12-15,2.7,45549.0
2022-12-16,6.2,29565.0
2022-12-17,5.0,61577.0
2022-12-18,3.1,50011.0
2022-12-19,1.7,56236.0
2022-12-20,1.9,60578.0
2022-12-21,1.0,61343.0
2022-12-22,3.8,40443.0
2022-12-23,7.5,27551.0
2022-12-24,-11.7,12601.0
2022-12-25,-6.900000000000001,9851.0
2022-12-26,-4.7,20255.0
2022-12-27,-0.7,34395.0
2022-12-28,3.4,45677.0
2022-12-29,6.400000000000001,53677.0
2022-12-30,9.3,64550.0
2022-12-31,8.2,32895.0
